BUILD_IDENTIFIER,START,END,LAMBDA,PERIOD,TEST_NAME,MICRO_SCORE_NAME,SCORE_NAME,VERDICT_SET_NAME,FLAKINESS_SCORE,CONFIDENCE,STANDARD_DEVIATION,MARGIN_OF_ERROR_SD,SCORE_CREATION_TIME,LAST_INCLUDED_RUN_INSTANT,VERSIONS
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2061,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.21686746987951808,0.9367544467966324,0.0,0.0,2025-08-07T13:32:43.889196Z,2026-12-21T01:07:59Z,{v1}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2061,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.21084337349397592,0.9552786404500042,0.004259679404738232,0.026894557293696254,2025-08-07T13:32:43.890122Z,2027-08-27T20:44:20Z,{v1~v2}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2061,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.22222222222222224,0.9634851628329889,0.005692704516810833,0.011753963859891796,2025-08-07T13:32:43.890381Z,2028-05-04T07:02:21Z,{v1~v2~v3}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2061,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.20381526104417672,0.9683772233983162,0.007921553131555976,0.010763133162825985,2025-08-07T13:32:43.890685Z,2029-01-09T08:39:00Z,{v1~v2~v3~v4}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2091,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:32:43.891106Z,2026-12-21T04:22:59Z,{v1}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2091,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:32:43.891270Z,2027-08-27T23:24:58Z,{v1~v2}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2091,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:32:43.891496Z,2028-05-04T03:42:45Z,{v1~v2~v3}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2091,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9683772233983162,0.0,0.0,2025-08-07T13:32:43.891682Z,2029-01-09T05:35:01Z,{v1~v2~v3~v4}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2019,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.19678714859437751,0.9367544467966324,0.0,0.0,2025-08-07T13:32:43.891962Z,2026-12-20T16:01:54Z,{v1}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2019,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.17269076305220882,0.9552786404500042,0.017038717618952967,0.10757822917478525,2025-08-07T13:32:43.892095Z,2027-08-28T12:43:37Z,{v1~v2}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2019,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.15261044176706826,0.9634851628329889,0.022118757218016486,0.04566951827528443,2025-08-07T13:32:43.892220Z,2028-05-04T14:00:00Z,{v1~v2~v3}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2019,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.14558232931726905,0.9683772233983162,0.022988460124207463,0.031234765886946663,2025-08-07T13:32:43.892357Z,2029-01-08T18:37:40Z,{v1~v2~v3~v4}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2098,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:32:43.892549Z,2026-12-21T08:41:39Z,{v1}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2098,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:32:43.892653Z,2027-08-28T04:41:34Z,{v1~v2}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2098,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:32:43.892764Z,2028-05-04T13:30:20Z,{v1~v2~v3}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2098,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9683772233983162,0.0,0.0,2025-08-07T13:32:43.892881Z,2029-01-09T07:19:14Z,{v1~v2~v3~v4}
BUILD_1754573563000,2026-04-15T14:26:23Z,2029-01-09T14:35:34Z,0.1,6047,tc2063,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.23694779116465864,0.9367544467966324,0.0,0.0,2025-08-07T13:32:43.893051Z,2026-12-20T20:24:10Z,{v1}
