BUILD_IDENTIFIER,START,END,LAMBDA,PERIOD,TEST_NAME,MICRO_SCORE_NAME,SCORE_NAME,VERDICT_SET_NAME,FLAKINESS_SCORE,CONFIDENCE,STANDARD_DEVIATION,MARGIN_OF_ERROR_SD,SCORE_CREATION_TIME,LAST_INCLUDED_RUN_INSTANT,VERSIONS
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3102,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1566265060240964,0.9367544467966324,0.0,0.0,2025-08-07T13:33:14.186448Z,2026-12-21T13:15:59Z,{v1}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3102,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.15863453815261044,0.9552786404500042,0.0014198931349127442,0.008964852431232085,2025-08-07T13:33:14.187340Z,2027-08-28T12:30:50Z,{v1~v2}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3102,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1539491298527443,0.9634851628329889,0.002350659025625334,0.004853503488989672,2025-08-07T13:33:14.187567Z,2028-05-04T11:38:16Z,{v1~v2~v3}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3102,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.143574297188755,0.9683772233983162,0.006695531801788015,0.0090973195763222,2025-08-07T13:33:14.187829Z,2029-01-09T02:34:48Z,{v1~v2~v3~v4}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3142,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.14859437751004015,0.9367544467966324,0.0,0.0,2025-08-07T13:33:14.188233Z,2026-12-20T23:22:40Z,{v1}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3142,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.11646586345381525,0.9552786404500042,0.022718290158603934,0.14343763889971353,2025-08-07T13:33:14.188390Z,2027-08-27T20:13:48Z,{v1~v2}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3142,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.107095046854083,0.9634851628329889,0.02176483426730423,0.04493875883404286,2025-08-07T13:33:14.188558Z,2028-05-04T11:11:56Z,{v1~v2~v3}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3142,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.09036144578313253,0.9683772233983162,0.02448601033981304,0.0332695098469882,2025-08-07T13:33:14.188702Z,2029-01-08T19:59:17Z,{v1~v2~v3~v4}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3147,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.14457831325301204,0.9367544467966324,0.0,0.0,2025-08-07T13:33:14.188966Z,2026-12-21T00:47:23Z,{v1}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3147,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.11244979919678715,0.9552786404500042,0.022718290158603934,0.14343763889971353,2025-08-07T13:33:14.189096Z,2027-08-28T08:55:12Z,{v1~v2}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3147,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.11914323962516733,0.9634851628329889,0.016950843296048707,0.03499911139039123,2025-08-07T13:33:14.189220Z,2028-05-04T08:45:19Z,{v1~v2~v3}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3147,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.09538152610441768,0.9683772233983162,0.020412935792909148,0.027735362312736576,2025-08-07T13:33:14.189361Z,2029-01-09T08:13:47Z,{v1~v2~v3~v4}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3192,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.12048192771084337,0.9367544467966324,0.0,0.0,2025-08-07T13:33:14.189550Z,2026-12-21T02:56:46Z,{v1}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3192,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.09036144578313253,0.9552786404500042,0.02129839702369119,0.13447278646848146,2025-08-07T13:33:14.189676Z,2027-08-27T18:43:17Z,{v1~v2}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3192,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.09504685408299866,0.9634851628329889,0.016207711399967874,0.03346473604667317,2025-08-07T13:33:14.189787Z,2028-05-04T14:18:03Z,{v1~v2~v3}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3192,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.08132530120481928,0.9683772233983162,0.016781224067662182,0.022800901070266607,2025-08-07T13:33:14.189973Z,2029-01-09T03:23:53Z,{v1~v2~v3~v4}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3119,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.14859437751004015,0.9367544467966324,0.0,0.0,2025-08-07T13:33:14.190165Z,2026-12-20T17:03:37Z,{v1}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3119,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.13453815261044177,0.9552786404500042,0.009939251944389209,0.0627539670186246,2025-08-07T13:33:14.190274Z,2027-08-27T17:51:35Z,{v1~v2}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3119,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.12851405622489961,0.9634851628329889,0.010304420561138308,0.021275965846300104,2025-08-07T13:33:14.190382Z,2028-05-04T02:38:39Z,{v1~v2~v3}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3119,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.11947791164658635,0.9683772233983162,0.01222469443964449,0.016609875859395704,2025-08-07T13:33:14.190534Z,2029-01-09T05:43:10Z,{v1~v2~v3~v4}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3109,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.08433734939759036,0.9367544467966324,0.0,0.0,2025-08-07T13:33:14.190661Z,2026-12-20T17:14:13Z,{v1}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3109,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.07429718875502007,0.9552786404500042,0.0070994656745637305,0.044824262156160484,2025-08-07T13:33:14.190780Z,2027-08-28T05:28:54Z,{v1~v2}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3109,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0642570281124498,0.9634851628329889,0.010040160642570281,0.02073033739794237,2025-08-07T13:33:14.190884Z,2028-05-04T00:39:35Z,{v1~v2~v3}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3109,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.05220883534136546,0.9683772233983162,0.01375416505223194,0.018687990542024142,2025-08-07T13:33:14.190981Z,2029-01-09T00:05:11Z,{v1~v2~v3~v4}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3103,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.10441767068273092,0.9367544467966324,0.0,0.0,2025-08-07T13:33:14.191087Z,2026-12-21T01:42:04Z,{v1}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3103,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.08835341365461846,0.9552786404500042,0.011359145079301972,0.07171881944985681,2025-08-07T13:33:14.191176Z,2027-08-28T10:27:21Z,{v1~v2}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3103,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.10174029451137884,0.9634851628329889,0.008606560250774616,0.01777032302429402,2025-08-07T13:33:14.191282Z,2028-05-04T02:40:52Z,{v1~v2~v3}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3103,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.08433734939759036,0.9683772233983162,0.009860053455593196,0.01339700265499408,2025-08-07T13:33:14.191370Z,2029-01-09T05:35:34Z,{v1~v2~v3~v4}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3126,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.20080321285140562,0.9367544467966324,0.0,0.0,2025-08-07T13:33:14.191498Z,2026-12-21T02:41:02Z,{v1}
BUILD_1754573593304,2026-04-15T14:09:48Z,2029-01-09T13:48:13Z,0.1,6047,tc3126,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1646586345381526,0.9552786404500042,0.02555807642842943,0.16136734376217776,2025-08-07T13:33:14.191567Z,2027-08-28T09:54:35Z,{v1~v2}
