BUILD_IDENTIFIER,START,END,LAMBDA,PERIOD,TEST_NAME,MICRO_SCORE_NAME,SCORE_NAME,VERDICT_SET_NAME,FLAKINESS_SCORE,CONFIDENCE,STANDARD_DEVIATION,MARGIN_OF_ERROR_SD,SCORE_CREATION_TIME,LAST_INCLUDED_RUN_INSTANT,VERSIONS
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4825,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.3293172690763052,0.9367544467966324,0.0,0.0,2025-08-07T13:32:32.330151Z,2026-12-21T06:17:40Z,{v1}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4825,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.3012048192771084,0.9552786404500042,0.019878503888778456,0.12550793403724944,2025-08-07T13:32:32.331051Z,2027-08-28T09:32:52Z,{v1~v2}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4825,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.2771084337349397,0.9634851628329889,0.02613014899055308,0.0539520057613338,2025-08-07T13:32:32.331312Z,2028-05-04T04:54:07Z,{v1~v2~v3}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4825,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.26305220883534136,0.9683772233983162,0.029070267554523382,0.039498208946161115,2025-08-07T13:32:32.331702Z,2029-01-09T12:11:47Z,{v1~v2~v3~v4}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4818,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:32:32.369601Z,2026-12-20T21:19:38Z,{v1}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4818,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:32:32.369766Z,2027-08-28T10:45:54Z,{v1~v2}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4818,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:32:32.369957Z,2028-05-04T07:44:53Z,{v1~v2~v3}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4818,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9683772233983162,0.0,0.0,2025-08-07T13:32:32.370221Z,2029-01-08T21:26:41Z,{v1~v2~v3~v4}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4817,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:32:32.370570Z,2026-12-20T15:33:09Z,{v1}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4817,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:32:32.370706Z,2027-08-27T15:50:55Z,{v1~v2}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4817,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:32:32.370837Z,2028-05-04T11:03:31Z,{v1~v2~v3}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4817,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9683772233983162,0.0,0.0,2025-08-07T13:32:32.370969Z,2029-01-08T22:45:31Z,{v1~v2~v3~v4}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4883,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.2248995983935743,0.9367544467966324,0.0,0.0,2025-08-07T13:32:32.371200Z,2026-12-21T06:10:42Z,{v1}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4883,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.21285140562248994,0.9552786404500042,0.008519358809476485,0.05378911458739264,2025-08-07T13:32:32.371307Z,2027-08-28T13:34:42Z,{v1~v2}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4883,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1686746987951807,0.9634851628329889,0.029602870665991942,0.06112227868662493,2025-08-07T13:32:32.371412Z,2028-05-03T23:27:18Z,{v1~v2~v3}
BUILD_1754573551386,2026-04-15T14:50:12Z,2029-01-09T14:08:32Z,0.1,6047,tc4883,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1465863453815261,0.9683772233983162,0.03682152775279568,0.05002996254399763,2025-08-07T13:32:32.371550Z,2029-01-08T17:06:16Z,{v1~v2~v3~v4}
