BUILD_IDENTIFIER,START,END,LAMBDA,PERIOD,TEST_NAME,MICRO_SCORE_NAME,SCORE_NAME,VERDICT_SET_NAME,FLAKINESS_SCORE,CONFIDENCE,STANDARD_DEVIATION,MARGIN_OF_ERROR_SD,SCORE_CREATION_TIME,LAST_INCLUDED_RUN_INSTANT,VERSIONS
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1256,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1285140562248996,0.9367544467966324,0.0,0.0,2025-08-07T13:33:22.571284Z,2026-12-20T23:12:48Z,{v1}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1256,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1285140562248996,0.9552786404500042,0.0,0.0,2025-08-07T13:33:22.572187Z,2027-08-27T17:53:30Z,{v1~v2}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1256,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.13922356091030788,0.9634851628329889,0.006183135413008037,0.012766576935566707,2025-08-07T13:33:22.572445Z,2028-05-04T01:16:41Z,{v1~v2~v3}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1256,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1546184738955823,0.9683772233983162,0.012346631021216005,0.016775552923360082,2025-08-07T13:33:22.572684Z,2029-01-09T11:24:21Z,{v1~v2~v3~v4}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1227,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:33:22.573211Z,2026-12-21T05:05:04Z,{v1}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1227,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:33:22.573381Z,2027-08-28T09:58:23Z,{v1~v2}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1227,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:33:22.573542Z,2028-05-04T03:14:56Z,{v1~v2~v3}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1227,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9683772233983162,0.0,0.0,2025-08-07T13:33:22.573778Z,2029-01-09T08:23:34Z,{v1~v2~v3~v4}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1251,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.23694779116465864,0.9367544467966324,0.0,0.0,2025-08-07T13:33:22.574024Z,2026-12-21T00:25:31Z,{v1}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1251,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.2530120481927711,0.9552786404500042,0.011359145079301991,0.07171881944985692,2025-08-07T13:33:22.574153Z,2027-08-28T11:09:51Z,{v1~v2}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1251,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.2556894243641232,0.9634851628329889,0.010136382589558733,0.020929010855187665,2025-08-07T13:33:22.574276Z,2028-05-04T09:23:22Z,{v1~v2~v3}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1251,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.2640562248995984,0.9683772233983162,0.011340641817173647,0.015408700289330416,2025-08-07T13:33:22.574418Z,2029-01-09T03:18:22Z,{v1~v2~v3~v4}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1247,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.19678714859437751,0.9367544467966324,0.0,0.0,2025-08-07T13:33:22.574615Z,2026-12-21T07:42:04Z,{v1}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1247,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.19678714859437751,0.9552786404500042,0.0,0.0,2025-08-07T13:33:22.574737Z,2027-08-28T02:36:06Z,{v1~v2}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1247,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.20883534136546186,0.9634851628329889,0.006956027339634052,0.014362399052512569,2025-08-07T13:33:22.574855Z,2028-05-04T11:30:56Z,{v1~v2~v3}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1247,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1997991967871486,0.9683772233983162,0.0057017152066267856,0.007747006048721637,2025-08-07T13:33:22.574976Z,2029-01-08T23:35:59Z,{v1~v2~v3~v4}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1225,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.20883534136546184,0.9367544467966324,0.0,0.0,2025-08-07T13:33:22.575143Z,2026-12-20T19:33:26Z,{v1}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1225,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.23092369477911645,0.9552786404500042,0.015618824484040204,0.09861337674355306,2025-08-07T13:33:22.575248Z,2027-08-27T23:04:18Z,{v1~v2}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1225,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.2543507362784471,0.9634851628329889,0.022760978318249254,0.046995538900437984,2025-08-07T13:33:22.575349Z,2028-05-04T09:38:47Z,{v1~v2~v3}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1225,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.24799196787148592,0.9683772233983162,0.020357992053417692,0.027660709429042037,2025-08-07T13:33:22.575562Z,2029-01-09T09:22:56Z,{v1~v2~v3~v4}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1296,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1285140562248996,0.9367544467966324,0.0,0.0,2025-08-07T13:33:22.575678Z,2026-12-21T00:55:03Z,{v1}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1296,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.12248995983935743,0.9552786404500042,0.004259679404738232,0.026894557293696254,2025-08-07T13:33:22.575791Z,2027-08-28T12:32:40Z,{v1~v2}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1296,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.14190093708165996,0.9634851628329889,0.009935494903262967,0.020514229691393743,2025-08-07T13:33:22.575877Z,2028-05-04T02:28:12Z,{v1~v2~v3}
BUILD_1754573601583,2026-04-15T14:30:11Z,2029-01-09T14:16:08Z,0.1,6047,tc1296,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.15863453815261042,0.9683772233983162,0.016036343441380097,0.02178882058075425,2025-08-07T13:33:22.575972Z,2029-01-08T16:59:41Z,{v1~v2~v3~v4}
