BUILD_IDENTIFIER,START,END,LAMBDA,PERIOD,TEST_NAME,MICRO_SCORE_NAME,SCORE_NAME,VERDICT_SET_NAME,FLAKINESS_SCORE,CONFIDENCE,STANDARD_DEVIATION,MARGIN_OF_ERROR_SD,SCORE_CREATION_TIME,LAST_INCLUDED_RUN_INSTANT,VERSIONS
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3786,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1927710843373494,0.9367544467966324,0.0,0.0,2025-08-07T13:33:33.947470Z,2026-12-21T07:29:55Z,{v1}
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3786,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.21686746987951808,0.9552786404500042,0.01703871761895295,0.10757822917478514,2025-08-07T13:33:33.948398Z,2027-08-27T15:45:29Z,{v1~v2}
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3786,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.2677376171352075,0.9634851628329889,0.03827181016044902,0.07902139873062827,2025-08-07T13:33:33.948650Z,2028-05-03T19:54:56Z,{v1~v2~v3}
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3786,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.29116465863453816,0.9683772233983162,0.04522037032782861,0.061441596039023556,2025-08-07T13:33:33.948914Z,2029-01-08T18:34:30Z,{v1~v2~v3~v4}
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3714,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.15261044176706828,0.9367544467966324,0.0,0.0,2025-08-07T13:33:33.949352Z,2026-12-21T13:47:32Z,{v1}
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3714,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.14859437751004018,0.9552786404500042,0.0028397862698254883,0.01792970486246417,2025-08-07T13:33:33.949508Z,2027-08-28T01:48:58Z,{v1~v2}
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3714,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.19946452476572962,0.9634851628329889,0.028281931062009515,0.058394879728808066,2025-08-07T13:33:33.949668Z,2028-05-04T05:24:22Z,{v1~v2~v3}
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3714,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.22991967871485947,0.9683772233983162,0.039069643888773646,0.05308451168798296,2025-08-07T13:33:33.949808Z,2029-01-08T22:02:09Z,{v1~v2~v3~v4}
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3757,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:33:33.950044Z,2026-12-21T03:10:29Z,{v1}
BUILD_1754573612910,2026-04-15T14:05:59Z,2029-01-09T14:42:55Z,0.1,6047,tc3757,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:33:33.950164Z,2027-08-27T20:09:23Z,{v1~v2}
