BUILD_IDENTIFIER,START,END,LAMBDA,PERIOD,TEST_NAME,MICRO_SCORE_NAME,SCORE_NAME,VERDICT_SET_NAME,FLAKINESS_SCORE,CONFIDENCE,STANDARD_DEVIATION,MARGIN_OF_ERROR_SD,SCORE_CREATION_TIME,LAST_INCLUDED_RUN_INSTANT,VERSIONS
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4010,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:33:04.462361Z,2026-12-20T21:14:27Z,{v1}
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4010,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:33:04.464110Z,2027-08-27T23:13:09Z,{v1~v2}
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4010,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:33:04.464626Z,2028-05-04T03:49:05Z,{v1~v2~v3}
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4010,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9683772233983162,0.0,0.0,2025-08-07T13:33:04.465724Z,2029-01-09T02:55:14Z,{v1~v2~v3~v4}
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4080,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.20481927710843373,0.9367544467966324,0.0,0.0,2025-08-07T13:33:04.466357Z,2026-12-21T12:25:54Z,{v1}
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4080,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1887550200803213,0.9552786404500042,0.011359145079301953,0.07171881944985668,2025-08-07T13:33:04.466517Z,2027-08-28T13:47:34Z,{v1~v2}
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4080,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.21151271753681392,0.9634851628329889,0.01169597717276318,0.02414917067780528,2025-08-07T13:33:04.466700Z,2028-05-04T07:47:19Z,{v1~v2~v3}
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4080,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.22389558232931728,0.9683772233983162,0.014642618073851166,0.0198951450004737,2025-08-07T13:33:04.466840Z,2029-01-08T14:31:57Z,{v1~v2~v3~v4}
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4017,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.23694779116465864,0.9367544467966324,0.0,0.0,2025-08-07T13:33:04.467341Z,2026-12-20T22:13:13Z,{v1}
BUILD_1754573583565,2026-04-15T14:05:01Z,2029-01-09T14:21:50Z,0.1,6047,tc4017,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.22088353413654618,0.9552786404500042,0.011359145079301972,0.07171881944985681,2025-08-07T13:33:04.467706Z,2027-08-28T07:21:29Z,{v1~v2}
