BUILD_IDENTIFIER,START,END,LAMBDA,PERIOD,TEST_NAME,MICRO_SCORE_NAME,SCORE_NAME,VERDICT_SET_NAME,FLAKINESS_SCORE,CONFIDENCE,STANDARD_DEVIATION,MARGIN_OF_ERROR_SD,SCORE_CREATION_TIME,LAST_INCLUDED_RUN_INSTANT,VERSIONS
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3559,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:32:24.932616Z,2026-12-20T16:46:25Z,{v1}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3559,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:32:24.933538Z,2027-08-28T01:18:52Z,{v1~v2}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3559,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:32:24.933742Z,2028-05-03T20:44:12Z,{v1~v2~v3}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3559,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9683772233983162,0.0,0.0,2025-08-07T13:32:24.933979Z,2029-01-09T08:14:39Z,{v1~v2~v3~v4}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3536,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:32:24.934464Z,2026-12-21T11:08:13Z,{v1}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3536,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:32:24.934642Z,2027-08-28T10:58:09Z,{v1~v2}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3536,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:32:24.934805Z,2028-05-04T12:21:59Z,{v1~v2~v3}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3536,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9683772233983162,0.0,0.0,2025-08-07T13:32:24.934951Z,2029-01-08T23:13:57Z,{v1~v2~v3~v4}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3547,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:32:24.935201Z,2026-12-20T16:51:39Z,{v1}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3547,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:32:24.935324Z,2027-08-28T03:29:24Z,{v1~v2}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3547,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:32:24.935457Z,2028-05-03T20:46:56Z,{v1~v2~v3}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3547,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9683772233983162,0.0,0.0,2025-08-07T13:32:24.935594Z,2029-01-08T21:41:44Z,{v1~v2~v3~v4}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3584,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9367544467966324,0.0,0.0,2025-08-07T13:32:24.935814Z,2026-12-20T20:35:57Z,{v1}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3584,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9552786404500042,0.0,0.0,2025-08-07T13:32:24.935921Z,2027-08-28T00:59:35Z,{v1~v2}
BUILD_1754573544036,2026-04-15T14:08:28Z,2029-01-09T13:41:57Z,0.1,6047,tc3584,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.0,0.9634851628329889,0.0,0.0,2025-08-07T13:32:24.936026Z,2028-05-04T06:59:37Z,{v1~v2~v3}
